City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,Malakal,SS,84.07,clear sky,9.5334,31.6605,Nile Palace Hotel
17,Vanimo,PG,80.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
22,Gidam,IN,81.7,scattered clouds,18.9833,81.4,Dhanshree Lodge And DormItory
23,Susanville,US,82.81,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
54,Novo Aripuana,BR,80.17,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
66,Lake Charles,US,82.38,broken clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
80,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
87,Claveria,PH,82.94,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
88,Umm Lajj,SA,82.9,overcast clouds,25.0213,37.2685,Moon light Furnished Units
91,Spring Hill,US,89.11,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
99,Cienaga,CO,82.54,overcast clouds,11.007,-74.2476,The Journey Hostel
102,Benito Juarez,MX,82.22,broken clouds,19.385,-99.165,Hotel Novit
112,Kousseri,CM,89.56,clear sky,12.0769,15.0306,Le Pilotis
113,Champa,IN,86.7,overcast clouds,22.05,82.65,Hotel Jaipuria
120,Ciudad Bolivar,VE,83.21,broken clouds,8.1222,-63.5497,Hotel Edi
131,Kingsville,US,84.45,few clouds,27.5159,-97.8561,Econo Lodge Kingsville
149,Amlagora,IN,81.7,few clouds,22.8333,87.3333,Mohul Guest House
152,Gainesville,US,87.82,few clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
161,Kutum,SD,80.28,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
162,Dawlatabad,AF,81.93,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
172,Napa,US,87.78,clear sky,38.4832,-122.3344,Fortuna Ranch
175,Turan,VN,82.45,few clouds,16.0678,108.2208,Sun River Hotel
183,Humaita,BR,81.09,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
206,Chino Valley,US,88.61,clear sky,34.7575,-112.4538,Primrose Inn & Suites
213,Boa Vista,BR,80.58,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
215,Aswan,EG,88.52,overcast clouds,24.0934,32.907,Nuba Nile
219,Mecca,SA,88.92,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
236,Tiko,CM,80.44,broken clouds,4.0745,9.3699,3813 Hotel Tiko
238,Altamira,BR,80.04,broken clouds,-3.2033,-52.2064,Requinte Hotel
241,Pasni,PK,84.47,few clouds,25.2631,63.471000000000004,Kashmiri Hotal
242,San Antonio,US,87.85,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
264,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
268,Mancio Lima,BR,86.07,few clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
270,Manicore,BR,81.68,overcast clouds,-5.8092,-61.3003,Hotel Durval
292,Juxtlahuaca,MX,84.6,broken clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
293,Nagercoil,IN,80.19,overcast clouds,8.1667,77.4333,JS Homestay
301,Baudh,IN,81.81,scattered clouds,20.8416,84.3213,Hotel Parijat Palace
318,Shaping,CN,82.89,overcast clouds,22.7545,112.9565,Heshan Phoenix Hotel
