,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,55.9,81,54,5.73,broken clouds
1,Tura,IN,25.5198,90.2201,72.36,93,24,4.63,few clouds
2,San Andres Del Rabanedo,ES,42.6117,-5.6167,60.76,77,0,2.3,clear sky
3,Ikalamavony,MG,-21.15,46.5833,57.2,70,81,3.87,broken clouds
4,Haines Junction,CA,60.7522,-137.5108,51.75,43,98,10.36,overcast clouds
5,Swan Hill,AU,-35.3378,143.5544,43.84,72,0,5.08,clear sky
6,Banyumas,ID,-7.5142,109.2942,74.08,95,97,2.06,overcast clouds
7,Awjilah,LY,29.1081,21.2869,85.42,26,6,7.43,clear sky
8,Dzerzhinsk,RU,56.2389,43.4631,57.02,100,90,16.17,light rain
9,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,49,0,4.61,clear sky
10,Bluff,NZ,-46.6,168.3333,49.8,88,100,22.82,overcast clouds
11,Norilsk,RU,69.3535,88.2027,26.62,97,87,1.7,overcast clouds
12,Sept-Iles,CA,50.2001,-66.3821,53.6,55,20,6.91,few clouds
13,Mataura,NZ,-46.1927,168.8643,49.48,95,100,3.91,overcast clouds
14,Tete,MZ,-16.1564,33.5867,55.49,62,0,4.61,clear sky
15,Malakal,SS,9.5334,31.6605,84.07,46,3,4.65,clear sky
16,Ushuaia,AR,-54.8,-68.3,28.06,93,75,21.85,light snow
17,Vanimo,PG,-2.6741,141.3028,80.37,87,100,3.13,overcast clouds
18,Turayf,SA,31.6725,38.6637,71.85,43,0,9.22,clear sky
19,Saskylakh,RU,71.9167,114.0833,34.59,89,82,8.7,broken clouds
20,Huimanguillo,MX,17.85,-93.3833,94.77,49,94,10.65,overcast clouds
21,Bozeman,US,45.6796,-111.0386,63.82,32,1,7.0,clear sky
22,Gidam,IN,18.9833,81.4,81.7,59,38,4.16,scattered clouds
23,Susanville,US,40.4163,-120.653,82.81,16,1,5.01,clear sky
24,East London,ZA,-33.0153,27.9116,59.74,81,57,16.24,moderate rain
25,Maracai,BR,-22.6106,-50.6672,74.23,50,76,0.65,broken clouds
26,Baykit,RU,61.67,96.37,37.35,92,99,7.81,overcast clouds
27,Port Elizabeth,ZA,-33.918,25.5701,55.69,94,75,5.75,light rain
28,Clyde River,CA,70.4692,-68.5914,30.43,86,20,2.3,few clouds
29,Dolneni,MK,41.4253,21.4547,56.26,72,75,2.55,broken clouds
30,Finale Emilia,IT,44.8346,11.2939,65.68,73,99,10.18,overcast clouds
31,Norman Wells,CA,65.282,-126.8329,39.24,75,75,11.5,broken clouds
32,Outjo,NA,-20.1167,16.15,56.44,30,2,4.47,clear sky
33,Lake Jackson,US,29.0339,-95.4344,91.22,67,1,1.99,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,35.71,55,40,17.72,scattered clouds
35,Port Alfred,ZA,-33.5906,26.891,57.96,79,86,11.56,light rain
36,Khatanga,RU,71.9667,102.5,42.24,72,93,7.25,overcast clouds
37,Darhan,MN,49.4867,105.9228,42.31,92,100,14.58,light rain
38,Ilulissat,GL,69.2167,-51.1,55.42,26,32,14.97,scattered clouds
39,Tarancon,ES,40.0085,-3.0073,71.89,53,50,5.91,scattered clouds
40,Lensk,RU,60.7253,114.9278,48.11,88,100,9.51,overcast clouds
41,Moron,AR,-34.6534,-58.6198,51.98,43,16,4.23,few clouds
42,Balsas,BR,-7.5325,-46.0356,78.03,46,3,3.76,clear sky
43,Moree,AU,-29.4667,149.85,44.62,76,100,8.05,overcast clouds
44,Albany,US,42.6001,-73.9662,53.37,71,100,3.51,overcast clouds
45,Anadyr,RU,64.75,177.4833,48.7,40,0,3.38,clear sky
46,Port Hedland,AU,-20.3167,118.5667,69.85,60,75,4.61,broken clouds
47,Ushumun,RU,52.7833,126.5333,48.42,86,100,3.78,overcast clouds
48,Svetlogorsk,BY,52.6333,29.7333,51.24,95,100,7.87,overcast clouds
49,Akureyri,IS,65.6835,-18.0878,48.13,66,75,14.97,broken clouds
50,Inuvik,CA,68.3499,-133.7218,34.56,73,90,5.75,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,46.92,76,29,3.13,scattered clouds
52,Upington,ZA,-28.4478,21.2561,46.78,66,100,4.61,overcast clouds
53,La Sarre,CA,48.8002,-79.1996,57.83,47,0,1.43,clear sky
54,Novo Aripuana,BR,-5.1206,-60.3797,80.17,72,90,1.66,overcast clouds
55,Hobart,AU,-42.8794,147.3294,47.26,78,75,3.0,broken clouds
56,Kodiak,US,57.79,-152.4072,47.71,87,90,9.22,light rain
57,Snasa,NO,64.2457,12.3778,46.85,80,12,2.77,few clouds
58,Kjopsvik,NO,68.097,16.3742,46.17,90,100,2.15,overcast clouds
59,La Roda,ES,39.2167,-2.15,70.0,54,36,8.59,scattered clouds
60,Lages,BR,-27.8161,-50.3261,53.82,98,52,5.08,broken clouds
61,Nanortalik,GL,60.1432,-45.2371,36.59,88,100,5.93,overcast clouds
62,Botelhos,BR,-21.6333,-46.395,62.44,86,93,0.85,overcast clouds
63,Suntar,RU,62.1444,117.6319,62.62,49,27,5.57,scattered clouds
64,Aberdeen,GB,57.1437,-2.0981,57.49,95,8,1.14,clear sky
65,Yichun,CN,47.7,128.9,57.22,68,97,0.6,overcast clouds
66,Lake Charles,US,30.2131,-93.2044,82.38,85,75,3.44,broken clouds
67,Santa Cruz Do Sul,BR,-29.7175,-52.4258,58.98,83,0,4.59,clear sky
68,Kargat,RU,55.1956,80.2811,55.67,53,95,6.42,overcast clouds
69,Nova Venecia,BR,-18.7106,-40.4006,71.96,92,64,2.8,broken clouds
70,Troitskoye,RU,52.9821,84.6757,45.95,76,8,4.07,clear sky
71,Alice Springs,AU,-23.7,133.8833,36.95,75,20,5.21,few clouds
72,Busselton,AU,-33.65,115.3333,53.1,84,98,21.0,light rain
73,Gat,IL,31.61,34.7642,69.82,86,0,0.43,clear sky
74,Lianzhou,CN,24.7811,112.3825,77.68,96,100,0.69,light rain
75,Sao Pedro Da Aldeia,BR,-22.8392,-42.1028,78.78,94,20,0.0,few clouds
76,Oranzherei,RU,45.8476,47.5663,66.16,54,31,5.66,scattered clouds
77,Adrar,MR,20.5022,-10.0711,93.61,12,90,11.14,overcast clouds
78,Udachnyy,RU,66.4167,112.4,55.18,58,5,10.56,clear sky
79,Santa Maria Del Oro,MX,25.9333,-105.3667,93.38,11,57,9.17,broken clouds
80,Minab,IR,27.1467,57.0801,85.5,35,0,2.8,clear sky
81,Gamboma,CG,-1.8764,15.8644,77.52,67,75,1.61,broken clouds
82,Namtsy,RU,62.7161,129.6658,59.11,62,86,2.59,overcast clouds
83,Thompson,CA,55.7435,-97.8558,53.76,76,90,16.11,overcast clouds
84,Tynset,NO,62.2759,10.7824,40.62,58,2,5.7,clear sky
85,Tavistock,GB,50.5494,-4.1442,58.12,80,83,4.34,broken clouds
86,Khandyga,RU,62.6667,135.6,56.37,77,100,12.15,light rain
87,Claveria,PH,18.6074,121.0832,82.94,77,99,1.45,overcast clouds
88,Umm Lajj,SA,25.0213,37.2685,82.9,68,100,11.95,overcast clouds
89,Terekli-Mekteb,RU,44.1671,45.8698,73.6,66,94,9.8,overcast clouds
90,Chunskiy,RU,56.0815,99.6342,35.04,72,88,6.93,overcast clouds
91,Spring Hill,US,28.4769,-82.5255,89.11,60,1,1.99,clear sky
92,Itaituba,BR,-4.2761,-55.9836,76.86,86,80,1.59,broken clouds
93,Port Said,EG,31.2565,32.2841,73.38,83,0,8.05,clear sky
94,Kruisfontein,ZA,-34.0033,24.7314,52.88,91,43,9.15,light rain
95,Puerto Leguizamo,CO,-0.1934,-74.7819,75.69,92,22,2.48,few clouds
96,Qaanaaq,GL,77.484,-69.3632,29.59,94,60,6.4,broken clouds
