City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Taltal,CL,2021-05-26 19:43:56,-25.4,-70.4833,67.84,64,100,1.79
1,Jamestown,US,2021-05-26 19:40:29,42.097,-79.2353,68.07,91,90,5.01
2,Airai,TL,2021-05-26 19:43:56,-8.9266,125.4092,55.62,88,31,3.98
3,Ushuaia,AR,2021-05-26 19:41:30,-54.8,-68.3,31.66,86,75,17.27
4,Albany,US,2021-05-26 19:43:27,42.6001,-73.9662,90.91,46,36,1.01
5,Busselton,AU,2021-05-26 19:43:57,-33.65,115.3333,50.04,66,59,13.62
6,San Patricio,US,2021-05-26 19:43:57,28.017,-97.5169,90.01,64,54,15.82
7,Severo-Kurilsk,RU,2021-05-26 19:43:57,50.6789,156.125,37.98,98,100,13.85
8,Nanortalik,GL,2021-05-26 19:43:58,60.1432,-45.2371,35.22,98,100,6.78
9,Provideniya,RU,2021-05-26 19:43:58,64.3833,-173.3,44.71,57,0,17.9
10,Contamana,PE,2021-05-26 19:43:58,-7.3333,-75.0167,86.54,58,87,3.71
11,Port Alfred,ZA,2021-05-26 19:43:59,-33.5906,26.891,60.42,75,79,4.7
12,Hermanus,ZA,2021-05-26 19:43:16,-34.4187,19.2345,59.9,81,100,2.39
13,Hofn,IS,2021-05-26 19:43:59,64.2539,-15.2082,44.62,70,40,13.8
14,Hithadhoo,MV,2021-05-26 19:44:00,-0.6,73.0833,84.2,69,100,21.16
15,Nikolskoye,RU,2021-05-26 19:44:00,59.7035,30.7861,47.39,96,44,4.72
16,Saint-Philippe,RE,2021-05-26 19:44:01,-21.3585,55.7679,71.19,83,38,1.3
17,Mataura,NZ,2021-05-26 19:44:01,-46.1927,168.8643,34.11,82,82,3.38
18,Nyurba,RU,2021-05-26 19:44:02,63.2842,118.3319,47.52,75,57,4.36
19,Husavik,IS,2021-05-26 19:44:02,66.0449,-17.3389,57.11,64,89,2.17
20,Mbanza-Ngungu,CD,2021-05-26 19:44:03,-5.25,14.8667,70.29,65,64,1.1
21,Santa Cruz,BO,2021-05-26 19:42:58,-17.8,-63.1667,82.45,54,75,10.36
22,Nishihara,JP,2021-05-26 19:44:04,26.1842,127.7558,80.26,94,20,17.38
23,Vaini,TO,2021-05-26 19:44:04,-21.2,-175.2,66.36,94,40,2.3
24,Fortuna,US,2021-05-26 19:44:05,40.5982,-124.1573,72.43,84,75,3.0
25,Kodiak,US,2021-05-26 19:44:05,57.79,-152.4072,53.11,58,1,5.75
26,Sao Joao Da Barra,BR,2021-05-26 19:44:06,-21.6403,-41.0511,77.09,75,62,11.61
27,Barrow,US,2021-05-26 19:44:06,71.2906,-156.7887,32.02,86,90,13.8
28,Vanimo,PG,2021-05-26 19:44:07,-2.6741,141.3028,77.54,88,100,5.06
29,Mahebourg,MU,2021-05-26 19:44:07,-20.4081,57.7,73.69,94,75,3.44
30,Hambantota,LK,2021-05-26 19:44:08,6.1241,81.1185,80.13,81,92,23.31
31,New Norfolk,AU,2021-05-26 19:44:08,-42.7826,147.0587,47.7,62,62,3.0
32,Bluff,NZ,2021-05-26 19:41:45,-46.6,168.3333,41.83,84,89,11.41
33,Anloga,GH,2021-05-26 19:44:09,5.7947,0.8973,84.42,83,18,15.59
34,Komsomolskiy,UZ,2021-05-26 19:44:09,40.4272,71.7189,69.22,36,64,4.7
35,Hasaki,JP,2021-05-26 19:44:10,35.7333,140.8333,63.28,80,100,1.25
36,Haines Junction,CA,2021-05-26 19:44:10,60.7522,-137.5108,55.35,41,100,6.91
37,Aswan,EG,2021-05-26 19:44:10,24.0934,32.907,90.16,11,2,9.69
38,Berdigestyakh,RU,2021-05-26 19:44:11,62.0989,126.6992,50.23,66,99,2.84
39,Codrington,AU,2021-05-26 19:44:11,-38.2667,141.9667,52.43,84,46,13.8
40,Redmond,US,2021-05-26 19:43:29,47.674,-122.1215,66.29,56,93,1.01
41,Itaituba,BR,2021-05-26 19:44:12,-4.2761,-55.9836,96.96,49,40,11.5
42,Iqaluit,CA,2021-05-26 19:44:12,63.7506,-68.5145,31.73,74,75,8.01
43,Faanui,PF,2021-05-26 19:44:12,-16.4833,-151.75,81.41,73,34,13.87
44,Ambilobe,MG,2021-05-26 19:44:13,-13.2,49.05,68.88,88,1,2.66
45,Upernavik,GL,2021-05-26 19:44:13,72.7868,-56.1549,33.04,88,100,11.95
46,Lavrentiya,RU,2021-05-26 19:44:13,65.5833,-171.0,36.16,75,5,12.55
47,Lata,PT,2021-05-26 19:44:14,40.1629,-8.3327,63.36,77,99,3.29
48,Pevek,RU,2021-05-26 19:44:14,69.7008,170.3133,30.54,80,3,1.1
49,Rikitea,PF,2021-05-26 19:44:14,-23.1203,-134.9692,76.48,71,82,21.47
50,Nogliki,RU,2021-05-26 19:44:14,51.8333,143.1667,36.48,73,58,7.63
51,Gravdal,NO,2021-05-26 19:44:15,68.1214,13.5031,49.68,76,20,17.27
52,Tasiilaq,GL,2021-05-26 19:44:15,65.6145,-37.6368,41.16,90,100,33.38
53,Bubaque,GW,2021-05-26 19:44:15,11.2833,-15.8333,78.37,76,68,15.99
54,Bhatapara,IN,2021-05-26 19:44:16,21.7333,81.9333,84.11,56,100,5.3
55,Touros,BR,2021-05-26 19:44:16,-5.1989,-35.4608,85.1,76,24,17.43
56,Rincon,US,2021-05-26 19:44:16,32.296,-81.2354,93.65,41,40,1.01
57,Cherskiy,RU,2021-05-26 19:44:17,68.75,161.3,54.81,38,91,4.25
58,Nemuro,JP,2021-05-26 19:44:17,43.3236,145.575,45.18,78,1,10.36
59,Charters Towers,AU,2021-05-26 19:44:17,-20.1,146.2667,58.01,89,0,3.27
60,Ponta Do Sol,PT,2021-05-26 19:44:18,32.6667,-17.1,68.72,73,90,4.68
61,Castro,BR,2021-05-26 19:41:30,-24.7911,-50.0119,59.94,66,92,0.65
62,Carnarvon,AU,2021-05-26 19:44:18,-24.8667,113.6333,59.07,63,52,8.05
63,Ghugus,IN,2021-05-26 19:44:19,19.9333,79.1333,93.09,28,100,7.25
64,Naryan-Mar,RU,2021-05-26 19:44:19,67.6713,53.087,35.94,76,78,10.71
65,Kungurtug,RU,2021-05-26 19:44:19,50.5994,97.5228,38.35,93,20,1.88
66,Khatanga,RU,2021-05-26 19:44:20,71.9667,102.5,23.25,97,56,9.33
67,Kenai,US,2021-05-26 19:39:47,60.5544,-151.2583,65.03,59,1,14.97
68,Sistranda,NO,2021-05-26 19:44:20,63.7256,8.834,57.16,86,5,24.7
69,Yellowknife,CA,2021-05-26 19:43:28,62.456,-114.3525,53.33,29,75,1.99
70,Okhotsk,RU,2021-05-26 19:44:21,59.3833,143.3,38.55,86,96,4.74
71,Tuatapere,NZ,2021-05-26 19:44:21,-46.1333,167.6833,43.07,86,100,8.28
72,Forest Grove,US,2021-05-26 19:44:21,45.5198,-123.1107,70.75,57,40,5.01
73,Atuona,PF,2021-05-26 19:44:22,-9.8,-139.0333,78.28,77,83,11.05
74,Zabid,YE,2021-05-26 19:44:22,14.1951,43.3152,91.81,45,27,5.03
75,Dingle,PH,2021-05-26 19:44:23,10.9995,122.6711,77.76,87,40,3.74
76,Manggar,ID,2021-05-26 19:44:23,-2.8833,108.2667,82.67,79,62,8.39
77,Lasa,IT,2021-05-26 19:44:24,46.6166,10.7002,61.68,97,79,3.8
78,Kapaa,US,2021-05-26 19:44:24,22.0752,-159.319,81.12,75,75,1.99
79,Portland,US,2021-05-26 19:42:43,45.5234,-122.6762,71.11,54,75,1.99
80,Olinda,BR,2021-05-26 19:44:25,-8.0089,-34.8553,80.33,65,75,14.76
81,Tenenkou,ML,2021-05-26 19:44:25,14.4572,-4.9169,91.02,36,92,6.78
82,Smidovich,RU,2021-05-26 19:44:25,48.6,133.8167,39.45,85,33,10.16
83,Krasnoselkup,RU,2021-05-26 19:44:26,65.7,82.4667,27.9,78,96,11.07
84,Port-Cartier,CA,2021-05-26 19:44:26,50.0334,-66.8654,44.92,97,100,7.9
85,Kruisfontein,ZA,2021-05-26 19:44:27,-34.0033,24.7314,52.88,82,100,5.01
86,Tigil,RU,2021-05-26 19:44:27,57.8,158.6667,41.5,56,72,6.31
87,Leningradskaya,RU,2021-05-26 19:44:28,46.3214,39.3877,63.81,60,67,4.59
88,Katobu,ID,2021-05-26 19:44:28,-4.9408,122.5276,75.52,94,79,5.41
89,Oistins,BB,2021-05-26 19:43:47,13.0667,-59.5333,84.29,65,75,17.27
90,Miraflores,MX,2021-05-26 19:44:29,19.2167,-98.8083,75.96,31,100,2.08
91,Bobrovka,RU,2021-05-26 19:44:29,54.047,61.7455,57.85,46,89,10.76
92,Georgetown,MY,2021-05-26 19:44:29,5.4112,100.3354,82.33,93,20,1.99
93,Luderitz,NA,2021-05-26 19:44:30,-26.6481,15.1594,62.71,73,34,6.91
94,Mao,ES,2021-05-26 19:44:30,39.8885,4.2658,63.16,67,0,4.61
95,Port Hardy,CA,2021-05-26 19:44:30,50.6996,-127.4199,51.98,66,90,17.27
96,Cayenne,GF,2021-05-26 19:44:31,4.9333,-52.3333,78.84,88,75,1.99
97,Puerto Ayora,EC,2021-05-26 19:44:31,-0.7393,-90.3518,82.36,88,40,5.99
98,Buchanan,LR,2021-05-26 19:44:31,5.8808,-10.0467,80.56,83,96,7.38
99,Dikson,RU,2021-05-26 19:43:47,73.5069,80.5464,25.75,95,100,13.18
100,Brae,GB,2021-05-26 19:44:32,60.3964,-1.353,48.11,87,100,18.7
101,Vardo,NO,2021-05-26 19:44:33,70.3705,31.1107,39.4,70,75,8.05
102,Mahon,ES,2021-05-26 19:44:33,39.8885,4.2658,63.16,67,0,4.61
103,Bengkulu,ID,2021-05-26 19:44:33,-3.8004,102.2655,77.34,81,100,4.61
104,Malindi,KE,2021-05-26 19:44:34,-3.2175,40.1191,80.76,78,20,23.02
105,Klaksvik,FO,2021-05-26 19:44:34,62.2266,-6.589,47.32,76,100,18.45
106,Poum,NC,2021-05-26 19:44:34,-20.2333,164.0167,71.38,67,68,14.63
107,Byron Bay,AU,2021-05-26 19:44:34,-28.65,153.6167,58.89,76,17,12.3
108,Sivaki,RU,2021-05-26 19:44:35,52.6333,126.75,41.05,81,99,3.62
109,Shimoda,JP,2021-05-26 19:44:35,34.6667,138.95,64.11,81,100,6.46
110,Odessa,UA,2021-05-26 19:44:36,46.4775,30.7326,57.13,100,0,4.47
111,Pozo Colorado,PY,2021-05-26 19:44:36,-23.4923,-58.7972,82.85,31,87,2.42
112,Prince Rupert,CA,2021-05-26 19:44:37,54.3161,-130.3201,47.89,90,90,3.44
113,Ribeira Grande,PT,2021-05-26 19:44:37,38.5167,-28.7,63.0,59,40,4.61
114,Vao,NC,2021-05-26 19:44:37,-22.6667,167.4833,71.83,67,14,10.76
115,Arraial Do Cabo,BR,2021-05-26 19:44:02,-22.9661,-42.0278,75.16,69,0,6.91
116,Punta Arenas,CL,2021-05-26 19:39:45,-53.15,-70.9167,39.31,65,40,17.4
117,Bethel,US,2021-05-26 19:42:09,41.3712,-73.414,90.01,59,1,3.0
118,Sabang,ID,2021-05-26 19:44:38,5.8933,95.3214,81.91,81,97,24.18
119,Rio Do Sul,BR,2021-05-26 19:41:07,-27.2142,-49.6431,66.38,61,0,0.85
120,Anadyr,RU,2021-05-26 19:44:38,64.75,177.4833,50.5,34,0,9.55
121,Cabo San Lucas,MX,2021-05-26 19:44:39,22.8909,-109.9124,100.51,43,100,12.19
122,Jiexiu,CN,2021-05-26 19:44:39,37.0244,111.9125,61.72,28,0,6.55
123,Omboue,GA,2021-05-26 19:44:40,-1.5746,9.2618,77.59,91,100,8.16
124,Bandarbeyla,SO,2021-05-26 19:44:40,9.4942,50.8122,79.41,81,46,28.92
125,Itarema,BR,2021-05-26 19:44:40,-2.9248,-39.9167,81.16,75,6,13.47
126,Havoysund,NO,2021-05-26 19:44:41,70.9963,24.6622,41.88,69,36,7.56
127,Kyshtovka,RU,2021-05-26 19:44:41,56.555,76.6271,61.39,82,90,13.09
128,East London,ZA,2021-05-26 19:44:41,-33.0153,27.9116,65.43,75,89,0.56
129,Butaritari,KI,2021-05-26 19:44:42,3.0707,172.7902,83.23,79,68,20.27
130,Garowe,SO,2021-05-26 19:44:42,8.4054,48.4845,78.8,57,37,21.68
131,Boddam,GB,2021-05-26 19:44:43,57.4667,-1.7833,50.38,93,75,13.56
132,Constitucion,CL,2021-05-26 19:44:44,-35.3333,-72.4167,63.48,72,51,11.7
133,Conceicao Da Barra,BR,2021-05-26 19:44:44,-18.5933,-39.7322,74.84,80,49,5.41
134,Portoferraio,IT,2021-05-26 19:44:44,42.8115,10.3146,62.96,70,25,7.47
135,Labuhan,ID,2021-05-26 19:44:45,-6.8844,112.2051,78.82,86,61,9.64
136,Narrabri,AU,2021-05-26 19:44:45,-30.3167,149.7833,39.52,87,0,5.75
137,Bambous Virieux,MU,2021-05-26 19:44:34,-20.3428,57.7575,73.65,94,75,5.28
138,Shingu,JP,2021-05-26 19:44:47,33.7333,135.9833,60.91,96,100,8.3
139,Cordoba,AR,2021-05-26 19:43:25,-31.4135,-64.1811,76.05,29,0,2.01
140,Labuan,MY,2021-05-26 19:44:47,5.2767,115.2417,79.16,94,20,0.0
141,Thompson,CA,2021-05-26 19:44:48,55.7435,-97.8558,33.96,51,40,6.91
142,Naze,JP,2021-05-26 19:44:49,28.3667,129.4833,76.53,90,84,22.28
143,Kudahuvadhoo,MV,2021-05-26 19:44:49,2.6708,72.8944,83.68,75,100,22.77
144,Auki,SB,2021-05-26 19:44:49,-8.7676,160.7034,76.57,84,100,11.59
145,Dwarka,IN,2021-05-26 19:44:50,22.2394,68.9678,84.49,77,72,17.47
146,Torbay,CA,2021-05-26 19:44:10,47.6666,-52.7314,49.75,92,90,5.75
147,Hilo,US,2021-05-26 19:44:50,19.7297,-155.09,80.11,66,1,0.0
148,Grand Gaube,MU,2021-05-26 19:44:51,-20.0064,57.6608,73.8,79,4,1.01
149,Muravlenko,RU,2021-05-26 19:44:51,63.7898,74.523,42.87,41,100,22.46
150,Cape Town,ZA,2021-05-26 19:43:24,-33.9258,18.4232,60.12,82,0,1.7
151,Grindavik,IS,2021-05-26 19:44:52,63.8424,-22.4338,51.75,76,75,31.61
152,Point Fortin,TT,2021-05-26 19:41:59,10.1833,-61.6833,86.14,71,99,5.68
153,Edson,CA,2021-05-26 19:43:01,53.5835,-116.4356,60.94,51,100,8.05
154,Chuy,UY,2021-05-26 19:43:59,-33.6971,-53.4616,58.3,68,68,7.07
155,Memmingen,DE,2021-05-26 19:44:52,47.9837,10.1853,53.73,93,90,10.36
156,Port Lincoln,AU,2021-05-26 19:44:53,-34.7333,135.8667,56.3,76,4,5.19
157,Cidreira,BR,2021-05-26 19:44:53,-30.1811,-50.2056,63.82,61,0,3.24
158,Lorengau,PG,2021-05-26 19:44:53,-2.0226,147.2712,79.11,85,99,6.91
159,Carballo,ES,2021-05-26 19:44:54,43.213,-8.691,66.07,88,70,3.44
160,Gallipoli,TR,2021-05-26 19:44:54,40.4103,26.6708,66.06,83,100,15.3
161,Necochea,AR,2021-05-26 19:44:54,-38.5473,-58.7368,62.04,59,96,17.85
162,Seminole,US,2021-05-26 19:44:55,28.7086,-81.2081,95.41,37,40,1.99
163,Esperance,AU,2021-05-26 19:44:55,-33.8667,121.9,53.44,62,100,15.01
164,Sinegorye,RU,2021-05-26 19:44:56,62.0788,150.477,38.25,89,100,6.02
165,Sosnogorsk,RU,2021-05-26 19:44:56,63.6023,53.8817,35.62,60,34,5.19
166,Medina Del Campo,ES,2021-05-26 19:44:56,41.3124,-4.9141,69.4,51,49,8.43
167,Avarua,CK,2021-05-26 19:44:57,-21.2078,-159.775,80.65,83,75,6.91
168,Parola,IN,2021-05-26 19:44:57,20.8833,75.1167,85.68,47,97,11.7
169,Leningradskiy,RU,2021-05-26 19:44:57,69.3833,178.4167,32.4,82,42,7.29
170,Pathein,MM,2021-05-26 19:44:58,16.7833,94.7333,78.78,91,86,4.63
171,Neringa,LT,2021-05-26 19:44:58,55.3719,21.0647,51.87,83,98,16.33
